sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02827-2-MiFish	e02827-2-MiFish	1	e02827-2-MiFish_S138_L001_R1_001.fastq.gz	e02827-2-MiFish_S138_L001_R2_001.fastq.gz	127760	127760	125574	125574	68248	68248	60319	60319	58073
e02828-1-MiFish	e02828-1-MiFish	1	e02828-1-MiFish_S102_L001_R1_001.fastq.gz	e02828-1-MiFish_S102_L001_R2_001.fastq.gz	83642	83642	81582	81582	33560	33560	29801	29801	28890
e02828-2-MiFish	e02828-2-MiFish	1	e02828-2-MiFish_S139_L001_R1_001.fastq.gz	e02828-2-MiFish_S139_L001_R2_001.fastq.gz	104381	104381	102512	102512	40349	40349	37867	37867	35194
e02829-1-MiFish	e02829-1-MiFish	1	e02829-1-MiFish_S103_L001_R1_001.fastq.gz	e02829-1-MiFish_S103_L001_R2_001.fastq.gz	90998	90998	89362	89362	36377	36377	31802	31802	30668
e02829-2-MiFish	e02829-2-MiFish	1	e02829-2-MiFish_S140_L001_R1_001.fastq.gz	e02829-2-MiFish_S140_L001_R2_001.fastq.gz	90735	90735	89111	89111	37499	37499	31887	31887	31194
e02830-1-MiFish	e02830-1-MiFish	1	e02830-1-MiFish_S104_L001_R1_001.fastq.gz	e02830-1-MiFish_S104_L001_R2_001.fastq.gz	104677	104677	102940	102940	56161	56161	51090	51090	49086
e02830-2-MiFish	e02830-2-MiFish	1	e02830-2-MiFish_S141_L001_R1_001.fastq.gz	e02830-2-MiFish_S141_L001_R2_001.fastq.gz	120940	120940	118869	118869	60995	60995	54504	54504	52326
e02831-1-MiFish	e02831-1-MiFish	1	e02831-1-MiFish_S105_L001_R1_001.fastq.gz	e02831-1-MiFish_S105_L001_R2_001.fastq.gz	101630	101630	99815	99815	44998	44998	39733	39733	38823
e02831-2-MiFish	e02831-2-MiFish	1	e02831-2-MiFish_S142_L001_R1_001.fastq.gz	e02831-2-MiFish_S142_L001_R2_001.fastq.gz	92865	92865	91275	91275	35879	35879	30544	30544	30157
e02832-1-MiFish	e02832-1-MiFish	1	e02832-1-MiFish_S106_L001_R1_001.fastq.gz	e02832-1-MiFish_S106_L001_R2_001.fastq.gz	75154	75154	73909	73909	29366	29366	26101	26101	23680
e02832-2-MiFish	e02832-2-MiFish	1	e02832-2-MiFish_S143_L001_R1_001.fastq.gz	e02832-2-MiFish_S143_L001_R2_001.fastq.gz	82040	82040	80831	80831	31163	31163	27699	27699	26078
e02833-1-MiFish	e02833-1-MiFish	1	e02833-1-MiFish_S107_L001_R1_001.fastq.gz	e02833-1-MiFish_S107_L001_R2_001.fastq.gz	26733	26733	26239	26239	10778	10778	9503	9503	9462
e02833-2-MiFish	e02833-2-MiFish	1	e02833-2-MiFish_S144_L001_R1_001.fastq.gz	e02833-2-MiFish_S144_L001_R2_001.fastq.gz	1461	1461	1333	1333	779	779	362	362	362
e02834-1-MiFish	e02834-1-MiFish	1	e02834-1-MiFish_S108_L001_R1_001.fastq.gz	e02834-1-MiFish_S108_L001_R2_001.fastq.gz	41678	41678	40918	40918	15761	15761	14066	14066	13928
e02834-2-MiFish	e02834-2-MiFish	1	e02834-2-MiFish_S145_L001_R1_001.fastq.gz	e02834-2-MiFish_S145_L001_R2_001.fastq.gz	249	249	193	193	99	99	0	0	0
e02835-1-MiFish	e02835-1-MiFish	1	e02835-1-MiFish_S109_L001_R1_001.fastq.gz	e02835-1-MiFish_S109_L001_R2_001.fastq.gz	38533	38533	37920	37920	16245	16245	13967	13967	13469
e02835-2-MiFish	e02835-2-MiFish	1	e02835-2-MiFish_S146_L001_R1_001.fastq.gz	e02835-2-MiFish_S146_L001_R2_001.fastq.gz	889	889	821	821	503	503	224	224	224
NC-1-MiFish	NC-1-MiFish	1	NC-1-MiFish_S110_L001_R1_001.fastq.gz	NC-1-MiFish_S110_L001_R2_001.fastq.gz	8243	8243	8061	8061	464	464	149	149	149
NC-2-MiFish	NC-2-MiFish	1	NC-2-MiFish_S147_L001_R1_001.fastq.gz	NC-2-MiFish_S147_L001_R2_001.fastq.gz	6375	6375	5652	5652	356	356	186	186	170
PC-1-MiFish	PC-1-MiFish	1	PC-1-MiFish_S111_L001_R1_001.fastq.gz	PC-1-MiFish_S111_L001_R2_001.fastq.gz	68413	68413	67201	67201	66147	66147	65885	65885	65885
PC-2-MiFish	PC-2-MiFish	1	PC-2-MiFish_S148_L001_R1_001.fastq.gz	PC-2-MiFish_S148_L001_R2_001.fastq.gz	88432	88432	86818	86818	85152	85152	84738	84738	84738
